geometry,distance_along_m,heading
POINT (-65.606267 49.253475),3395.238311216911,88.25931296362512
POINT (-65.6059645 49.253481),3417.2712665149998,88.25931275309995
POINT (-65.605662 49.253487),3439.3042168834654,90.59701585903542
POINT (-65.605368 49.253485),3460.7093884803553,90.5970158319999
POINT (-65.605074 49.253483),3482.114558808835,92.96901490043246
POINT (-65.604882 49.253476500000005),3496.1113725381865,92.96901451308094
POINT (-65.60469 49.25347),3510.10818719149,91.14135679197852
POINT (-65.6040365 49.2534615),3557.694192861765,91.14135659461778
POINT (-65.603383 49.253453),3605.2801961733776,89.99997708320666
POINT (-65.60332249999999 49.253453),3609.684763762531,89.99997708320666
POINT (-65.603262 49.253453),3614.089331259489,89.31100126886906
POINT (-65.60281599999999 49.2534565),3646.5616953876474,89.3110012206256
POINT (-65.60237 49.25346),3679.03405231379,88.41739559240875
POINT (-65.601649 49.253473),3731.5447203759927,88.41739517583483
POINT (-65.600928 49.253486),3784.0553618340027,85.60088682328103
POINT (-65.5993545 49.253565),3898.9466868505247,85.60087981100042
POINT (-65.597781 49.253644),4013.837768315781,86.98524789486214
POINT (-65.59684999999999 49.253676),4081.7101008275545,86.98524594496917
POINT (-65.595919 49.253708),4149.582368202528,88.76611800675761
POINT (-65.5947805 49.253724000000005),4232.4867571595805,88.76611760792179
POINT (-65.593642 49.25374),4315.391087451408,88.67707566551832
POINT (-65.59307799999999 49.2537485),4356.4623506711005,88.6770754382598
POINT (-65.592514 49.253757),4397.533599020932,86.11357641634237
POINT (-65.591984 49.253780500000005),4436.207094978369,86.11357457390369
POINT (-65.591454 49.253804),4474.880565734813,84.2614616756598
POINT (-65.5909585 49.253836500000006),4511.134564962956,84.26145792488319
POINT (-65.590463 49.253869),4547.388534553094,82.84469145510155
POINT (-65.58992599999999 49.253913),4586.788188825806,82.84468514300812
POINT (-65.589389 49.253957),4626.1878014648355,81.80247825393457
POINT (-65.58887849999999 49.254005),4663.734499324227,81.80247039073788
POINT (-65.588368 49.254053),4701.281155032883,77.21391865433031
POINT (-65.5866295 49.2543105),4831.045935223014,77.21385414822987
POINT (-65.584891 49.254568),4960.809997084202,77.47630411026051
POINT (-65.58404949999999 49.25469),5023.556330756501,77.47627413215628
POINT (-65.583208 49.254812),5086.302499199856,79.06063398959503
POINT (-65.5830455 49.2548325),5098.350245573928,79.06062955763531
POINT (-65.582883 49.254853),5110.397986476912,78.91839516324421
POINT (-65.5826405 49.254884),5128.3855486927005,78.91838837370676
POINT (-65.582398 49.254915),5146.373098587473,82.74995995789527
POINT (-65.582121 49.254937999999996),5166.700317749167,82.74995661462731
POINT (-65.581844 49.254961),5187.027525718751,86.01618478972773
POINT (-65.581613 49.254971499999996),5203.88482664922,86.01618394261129
POINT (-65.581382 49.254982),5220.742122710758,88.58428353574726
POINT (-65.58100999999999 49.254988),5247.831932239097,88.58428336142606
POINT (-65.580638 49.254994),5274.9217350980525,89.87096732264735
POINT (-65.5802975 49.2549945),5299.710176951839,89.87096732134569
POINT (-65.579957 49.254995),5324.498615722023,94.37550159731023
POINT (-65.5795165 49.254973),5356.660197519139,94.37549965598316
POINT (-65.579076 49.254951),5388.8217887849105,95.65097270592531
POINT (-65.5786115 49.254920999999996),5422.801590369123,95.65096928906524
POINT (-65.578147 49.254891),5456.781407068267,87.63854660562623
POINT (-65.5779055 49.2548975),5474.377470169418,87.63854629270475
POINT (-65.577664 49.254904),5491.973529537167,84.167992538443
POINT (-65.57764900000001 49.254905),5493.0711786627335,84.16799242659357
POINT (-65.577634 49.254906),5494.168827761619,83.24013850271746
POINT (-65.577285 49.254932999999994),5519.7528609707315,83.24013483695597
POINT (-65.576936 49.25496),5545.33687741509,78.80584067340226
POINT (-65.576696 49.254991),5563.145775322891,78.80583381840529
